City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Beaufort,MY,78.96,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
409,Atambua,ID,75.22,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
412,Lindi,TZ,76.32,overcast clouds,-10.0,39.7167,Lindi paradise house
417,Kupang,ID,77.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
419,Kavieng,PG,81.97,light rain,-2.5744,150.7967,Nusa Island Retreat
420,Mecca,SA,76.01,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
423,Oranjestad,AW,83.91,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
427,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
436,Koumac,NC,75.87,moderate rain,-20.5667,164.2833,Le Monitel
441,San Vicente,AR,79.5,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
443,Veinticinco De Mayo,AR,75.06,overcast clouds,-35.4323,-60.1727,Estancia La Rosada
445,Ponnani,IN,79.92,broken clouds,10.767,75.9252,Rouba Residency
446,Santa Cruz,BO,75.25,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
448,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
449,Puerto Escondido,MX,85.26,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
459,Singaraja,ID,81.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
460,Uvira,CD,76.73,overcast clouds,-3.4067,29.1458,Hotel Suzana
467,Bintulu,MY,77.41,moderate rain,3.1667,113.0333,900 Boutique INN
468,Sao Filipe,CV,76.03,scattered clouds,14.8961,-24.4956,Hotel Xaguate
478,Tsiroanomandidy,MG,80.24,light rain,-18.7667,46.0333,Hotel Ravinala
488,Jacareacanga,BR,80.4,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
490,Formosa,AR,82.38,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
491,Rio Grande,BR,86.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
497,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
